"filename", "language", "JSON", "JavaScript", "Markdown", "PostCSS", "JavaScript JSX", "HTML", "XML", "comment", "blank", "total"
"c:\Users\HENRRY\Desktop\vocacional-frontend\README.md", "Markdown", 0, 0, 7, 0, 0, 0, 0, 0, 6, 13
"c:\Users\HENRRY\Desktop\vocacional-frontend\eslint.config.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\HENRRY\Desktop\vocacional-frontend\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\HENRRY\Desktop\vocacional-frontend\package-lock.json", "JSON", 5681, 0, 0, 0, 0, 0, 0, 0, 1, 5682
"c:\Users\HENRRY\Desktop\vocacional-frontend\package.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Users\HENRRY\Desktop\vocacional-frontend\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\HENRRY\Desktop\vocacional-frontend\public\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\HENRRY\Desktop\vocacional-frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 151, 0, 0, 2, 13, 166
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\api\api_courses.jsx", "JavaScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 8, 32
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\api\api_estudent_test.jsx", "JavaScript JSX", 0, 0, 0, 0, 24, 0, 0, 26, 8, 58
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\api\api_grades.jsx", "JavaScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 9, 32
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\api\api_homeMarcelo.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 5, 24
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\api\api_login.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 1, 3, 12
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\api\api_majors.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 10, 5, 26
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\api\api_section.jsx", "JavaScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 7, 30
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\api\api_student.jsx", "JavaScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 8, 32
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\api\api_teacher.jsx", "JavaScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 8, 32
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\api\api_tests.jsx", "JavaScript JSX", 0, 0, 0, 0, 221, 0, 0, 15, 19, 255
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\api\api_user.jsx", "JavaScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 7, 30
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\api\api_verify.jsx", "JavaScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\header.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 2, 1, 17
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\login\login.jsx", "JavaScript JSX", 0, 0, 0, 0, 236, 0, 0, 5, 21, 262
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\modal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HENRRY\Desktop\vocacional-frontend\src\components\pages\UI\button.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
